title,author,rating,description,language,genres,pages,publisher,publishDate,numRatings,ratingsByStars,likedPercent,coverImg
العصبي,أحمد جمال الدين رمضان,4.52,كان الجميع يعلم أنه عصبى .. هذه ليست المشكلة، المشكلة أنه كان يعترف بهذا، كان يعترف أنه عصبى، سريع الاستثارة، ومندفع؛ لكنه لم يحاول تغيير ذلك أبداً، كان ينتابه الغضب ويندفع فى السباب كالسيل العارم لأتفه الأسباب، وأحيانا بدون أسباب تذكر، يفقد أعصابه بسهولة فيثور دون أن يبالى بالعواقب، برميل من البارود قابل للاشتعال فى أى لحظة كما يحلو للبعض أن يصفه، تلك كانت طبيعته المميزة، وهكذا مضت حياته، مشاكل له .. ومأساة للآخرين ممن أوقعهم حظهم العاثر فى دائرة التعامل معه...جيرانه يخشون الاقتراب منه بعد أن علمتهم التجارب أن الاحتكاك به ينتهى دوما بنتائج وخيمة، زملاءه فى العمل يواصلون الشكوى منه ، وأصدقاءه يتناقصون تدريجياً.. فماذا سيفعل فى حياته؟ وما هى المشاكل التى ستواجهه؟ وماذا سيواجه؟ .,Arabic,"[""Short Stories"", ""Fiction"", ""Anthologies""]",165,دار ليلى كيان كورب,10/28/16,1952,"[""1214"", ""622"", ""60"", ""27"", ""29""]",97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465754782l/30528544._SX318_.jpg
"A Child Called ""It""",Dave Pelzer (Goodreads Author),4.11,"Also see: Alternate Cover Editions for this ISBN [ACE]  
  ACE #1
This book chronicles the unforgettable account of one of the most severe child abuse cases in California history. It is the story of Dave Pelzer, who was brutally beaten and starved by his emotionally unstable, alcoholic mother: a mother who played tortuous, unpredictable games—games that left him nearly dead. He had to learn how to play his mother's games in order to survive because she no longer considered him a son, but a slave; and no longer a boy, but an ""it."" Dave's bed was an old army cot in the basement, and his clothes were torn and raunchy. When his mother allowed him the luxury of food, it was nothing more than spoiled scraps that even the dogs refused to eat. The outside world knew nothing of his living nightmare. He had nothing or no one to turn to, but his dreams kept him alive—dreams of someone taking care of him, loving him and calling him their son.",English,"[""Nonfiction"", ""Memoir"", ""Biography"", ""Psychology"", ""Autobiography"", ""Abuse"", ""Adult"", ""Biography Memoir"", ""True Crime"", ""True Story""]",184,Health Communications Inc,09/01/95,378898,"[""170561"", ""115946"", ""64862"", ""18526"", ""9003""]",93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438400434l/60748._SY475_.jpg
Stargirl,Jerry Spinelli,3.76,"A celebration of nonconformity; a tense, emotional tale about the fleeting, cruel nature of popularity--and the thrill and inspiration of first love. Ages 12+Leo Borlock follows the unspoken rule at Mica Area High School: don't stand out--under any circumstances! Then Stargirl arrives at Mica High and everything changes--for Leo and for the entire school. After 15 years of home schooling, Stargirl bursts into tenth grade in an explosion of color and a clatter of ukulele music, enchanting the Mica student body.But the delicate scales of popularity suddenly shift, and Stargirl is shunned for everything that makes her different. Somewhere in the midst of Stargirl's arrival and rise and fall, normal Leo Borlock has tumbled into love with her.In a celebration of nonconformity, Jerry Spinelli weaves a tense, emotional tale about the fleeting, cruel nature of popularity--and the thrill and inspiration of first love.",English,"[""Young Adult"", ""Fiction"", ""Contemporary"", ""Realistic Fiction"", ""Romance"", ""Middle Grade"", ""Childrens"", ""Teen"", ""School"", ""Coming Of Age""]",186,Scholastic,09/28/02,296407,"[""91758"", ""92568"", ""74175"", ""26285"", ""11621""]",87,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335947642l/22232.jpg
Tao Te Ching,"Lao Tzu, Gia-Fu Feng (Translation), Jane English (Translation), Toinette Lippe (Goodreads Author) (Translation), Jacob Needleman (Translation)",4.28,"A lucid translation of the well-known Taoist classic by a leading scholar-now in a Shambhala Pocket Library edition. Written more than two thousand years ago, the Tao Teh Ching, or -The Classic of the Way and Its Virtue, - is one of the true classics of the world of spiritual literature. Traditionally attributed to the legendary -Old Master, - Lao Tzu, the Tao Teh Ching teaches that the qualities of the enlightened sage or ideal ruler are identical with those of the perfected individual. Today, Lao Tzu's words are as useful in mastering the arts of leadership in business and politics as they are in developing a sense of balance and harmony in everyday life. To follow the Tao or Way of all things and realize their true nature is to embody humility, spontaneity, and generosity. John C. H. Wu has done a remarkable job of rendering this subtle text into English while retaining the freshness and depth of the original. A jurist and scholar, Dr. Wu was a recognized authority on Taoism and the translator of several Taoist and Zen texts and of Chinese poetry. This book is part of the Shambhala Pocket Library series. The Shambhala Pocket Library is a collection of short, portable teachings from notable figures across religious traditions and classic texts. The covers in this series are rendered by Colorado artist Robert Spellman. The books in this collection distill the wisdom and heart of the work Shambhala Publications has published over 50 years into a compact format that is collectible, reader-friendly, and applicable to everyday life.",English,"[""Philosophy"", ""Nonfiction"", ""Religion"", ""Classics"", ""Spirituality"", ""Poetry"", ""China"", ""Taoism"", ""Self Help"", ""Eastern Philosophy""]",160,Vintage,08/28/89,117120,"[""62746"", ""32611"", ""15630"", ""4022"", ""2111""]",95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333578861l/67896.jpg
Dear John,Nicholas Sparks (Goodreads Author),4.03,"An angry rebel, John dropped out of school and enlisted in the Army, not knowing what else to do with his life--until he meets the girl of his dreams, Savannah. Their mutual attraction quickly grows into the kind of love that leaves Savannah waiting for John to finish his tour of duty, and John wanting to settle down with the woman who has captured his heart. But 9/11 changes everything. John feels it is his duty to re-enlist. And sadly, the long separation finds Savannah falling in love with someone else. Dear John, the letter read... and with those two words, a heart was broken and two lives were changed forever. Returning home, John must come to grips with the fact that Savannah, now married, is still his true love—and face the hardest decision of his life.",English,"[""Romance"", ""Fiction"", ""Chick Lit"", ""Contemporary"", ""Adult"", ""Adult Fiction"", ""Young Adult"", ""Love"", ""Contemporary Romance"", ""Drama""]",276,Warner Books (NY),10/30/06,539724,"[""219408"", ""171188"", ""108909"", ""28832"", ""11387""]",93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397749854l/5526.jpg
Midnight's Children,Salman Rushdie,3.98,"Saleem Sinai was born at midnight, the midnight of India's independence, and found himself mysteriously ""handcuffed to history"" by the coincidence. He is one of 1,001 children born at the midnight hour, each of them endowed with an extraordinary talent—and whose privilege and curse it is to be both master and victims of their times. Through Saleem's gifts—inner ear and wildly sensitive sense of smell—we are drawn into a fascinating family saga set against the vast, colourful background of the India of the 20th century.",English,"[""Fiction"", ""India"", ""Magical Realism"", ""Classics"", ""Historical Fiction"", ""Fantasy"", ""Literature"", ""Novels"", ""Literary Fiction"", ""Indian Literature""]",647,Vintage,05/01/95,104523,"[""40344"", ""34919"", ""19229"", ""6841"", ""3190""]",90,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371063511l/14836.jpg
Obsidian,Jennifer L. Armentrout (Goodreads Author),4.18,"Starting over sucks.When we moved to West Virginia right before my senior year, I’d pretty much resigned myself to thick accents, dodgy internet access, and a whole lot of boring… until I spotted my hot neighbor, with his looming height and eerie green eyes. Things were looking up.And then he opened his mouth.Daemon is infuriating. Arrogant. Stab-worthy. We do not get along. At all. But when a stranger attacks me and Daemon literally freezes time with a wave of his hand, well, something… unexpected happens. The hot alien living next door marks me.You heard me. Alien. Turns out Daemon and his sister have a galaxy of enemies wanting to steal their abilities, and Daemon’s touch has me lit up like the Vegas Strip. The only way I’m getting out of this alive is by sticking close to Daemon until my alien mojo fades. If I don’t kill him first, that is.",English,"[""Young Adult"", ""Paranormal"", ""Fantasy"", ""Romance"", ""Aliens"", ""Science Fiction"", ""Paranormal Romance"", ""Supernatural"", ""Urban Fantasy"", ""Fiction""]",335,Entangled Teen,05/08/12,225596,"[""112093"", ""65537"", ""31761"", ""9986"", ""6219""]",93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328275091l/12578077.jpg
'Salem's Lot,Stephen King (Goodreads Author),4.03,"Thousands of miles away from the small township of 'Salem's Lot, two terrified people, a man and a boy, still share the secrets of those clapboard houses and tree-lined streets. They must return to 'Salem's Lot for a final confrontation with the unspeakable evil that lives on in the town.",English,"[""Horror"", ""Fiction"", ""Vampires"", ""Fantasy"", ""Thriller"", ""Paranormal"", ""Supernatural"", ""Audiobook"", ""Adult"", ""Mystery""]",483,New English Library,10/28/91,334051,"[""122020"", ""121352"", ""72184"", ""14697"", ""3798""]",94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327891565l/11590.jpg
The Martian Chronicles,Ray Bradbury,4.14,"The strange and wonderful tale of man’s experiences on Mars, filled with intense images and astonishing visions. Now part of the Voyager Classics collection.The Martian Chronicles tells the story of humanity’s repeated attempts to colonize the red planet. The first men were few. Most succumbed to a disease they called the Great Loneliness when they saw their home planet dwindle to the size of a fist. They felt they had never been born. Those few that survived found no welcome on Mars. The shape-changing Martians thought they were native lunatics and duly locked them up.But more rockets arrived from Earth, and more, piercing the hallucinations projected by the Martians. People brought their old prejudices with them – and their desires and fantasies, tainted dreams. These were soon inhabited by the strange native beings, with their caged flowers and birds of flame.Contents:Rocket SummerYllaThe Summer NightThe Earth MenThe TaxpayerThe Third Expedition-And the Moon Be Still As BrightThe SettlersThe Green MorningThe LocustsNight MeetingThe ShoreInterimThe MusiciansWay in the Middle of the AirThe Naming of NamesUsher IIThe Old OnesThe MartianThe Luggage StoreThe Off SeasonThe WatchersThe Silent TownsThe Long YearsThere Will Come Soft RainsThe Million Year Picnic",English,"[""Science Fiction"", ""Fiction"", ""Classics"", ""Short Stories"", ""Fantasy"", ""Science Fiction Fantasy"", ""American"", ""Audiobook"", ""Literature"", ""Space""]",182,Bantam/Spectra,06/01/84,210234,"[""88506"", ""75455"", ""36535"", ""7517"", ""2221""]",95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374049948l/76778.jpg
Crescendo,Becca Fitzpatrick (Goodreads Author),4.04,"Nora Grey's life is still far from perfect. Surviving an attempt on her life wasn't pleasant, but at least she got a guardian angel out of it. A mysterious, magnetic, gorgeous guardian angel. But despite his role in her life, Patch has been acting anything but angelic. He's more elusive than ever (if that's possible) and what's worse, he seems to be spending time with Nora's archenemy, Marcie Millar.Nora would have hardly noticed Scott Parnell, an old family friend who has moved back to town, if Patch hadn't been acting so distant. Even with Scott's totally infuriating attitude, Nora finds herself drawn to him - despite her lingering feelings that he is hiding something.If that weren't enough, Nora is haunted by images of her murdered father, and comes to question whether her Nephilim bloodline has anything to do with his death. Desperate to figure out what happened, she puts herself in increasingly dangerous situations to get the answer. But maybe some things are better left buried, because the truth could destroy everything - and everyone - she trusts.",English,"[""Young Adult"", ""Fantasy"", ""Angels"", ""Paranormal"", ""Romance"", ""Paranormal Romance"", ""Supernatural"", ""Fiction"", ""Urban Fantasy"", ""Young Adult Fantasy""]",432,Simon & Schuster Books for Young Readers,10/19/10,274616,"[""117941"", ""80081"", ""52264"", ""17540"", ""6790""]",91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362408146l/7791997.jpg
The English Patient,Michael Ondaatje,3.88,"With ravishing beauty and unsettling intelligence, Michael Ondaatje's Booker Prize-winning novel traces the intersection of four damaged lives in an Italian villa at the end of World War II. Hana, the exhausted nurse; the maimed thief, Caravaggio; the wary sapper, Kip: each is haunted by the riddle of the English patient, the nameless, burned man who lies in an upstairs room and whose memories of passion, betrayal, and rescue illuminate this book like flashes of heat lightning.",English,"[""Fiction"", ""Historical Fiction"", ""Classics"", ""Romance"", ""Historical"", ""War"", ""Canada"", ""Literature"", ""Literary Fiction"", ""Novels""]",320,McClelland & Stewart,04/18/06,113375,"[""37511"", ""39640"", ""24374"", ""8298"", ""3552""]",90,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320527907l/11713.jpg
East of Eden,John Steinbeck,4.38,"In his journal, Nobel Prize winner John Steinbeck called East of Eden “the first book,” and indeed it has the primordial power and simplicity of myth. Set in the rich farmland of California’s Salinas Valley, this sprawling and often brutal novel follows the intertwined destinies of two families—the Trasks and the Hamiltons—whose generations helplessly reenact the fall of Adam and Eve and the poisonous rivalry of Cain and Abel.Adam Trask came to California from the East to farm and raise his family on the new rich land. But the birth of his twins, Cal and Aaron, brings his wife to the brink of madness, and Adam is left alone to raise his boys to manhood. One boy thrives nurtured by the love of all those around him; the other grows up in loneliness enveloped by a mysterious darkness.First published in 1952, East of Eden is the work in which Steinbeck created his most mesmerizing characters and explored his most enduring themes: the mystery of identity, the inexplicability of love, and the murderous consequences of love's absence. A masterpiece of Steinbeck's later years, East of Eden is a powerful and vastly ambitious novel that is at once a family saga and a modern retelling of the Book of Genesis.--jacket flap",English,"[""Classics"", ""Fiction"", ""Historical Fiction"", ""Literature"", ""Novels"", ""American"", ""Literary Fiction"", ""Historical"", ""Classic Literature"", ""Adult""]",601,Penguin Books,10/28/02,428907,"[""246230"", ""119358"", ""46605"", ""11428"", ""5286""]",96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1544744853l/4406.jpg
Cloud Atlas,David Mitchell,4.01,"A postmodern visionary who is also a master of styles of genres, David Mitchell combines flat-out adventure, a Nabokovian lore of puzzles, a keen eye for character, and a taste for mind-bending philosophical and scientific speculation in the tradition of Umberto Eco, Haruki Murakami, and Philip K. Dick. The result is brilliantly original fiction as profund as it is playful. Now in his new novel, David Mitchell explores with daring artistry fundamental questions of reality and identity.Cloud Atlas begins in 1850 with Adam Ewing, an American notary voyaging from the Chatham Isles to his home in California. Along the way, Ewing is befriended by a physician, Dr. Goose, who begins to treat him for a rare species of brain parasite. . . .Abruptly, the action jumps to Belgium in 1931, where Robert Frobisher, a disinherited bisexual composer, contrives his way into the household of an infirm maestro who has a beguiling wife and a nubile daughter. . . . From there we jump to the West Coast in the 1970s and a troubled reporter named Luisa Rey, who stumbles upon a web of corporate greed and murder that threatens to claim her life. . . . And onward, with dazzling virtuosity, to an inglorious present-day England; to a Korean superstate of the near future where neocapitalism has run amok; and, finally, to a postapocalyptic Iron Age Hawaii in the last days of history.But the story doesn’t end even there. The narrative then boomerangs back through centuries and space, returning by the same route, in reverse, to its starting point. Along the way, Mitchell reveals how his disparate characters connect, how their fates intertwine, and how their souls drift across time like clouds across the sky.As wild as a videogame, as mysterious as a Zen koan, Cloud Atlas is an unforgettable tour de force that, like its incomparable author, has transcended its cult classic status to become a worldwide phenomenon.",English,"[""Fiction"", ""Science Fiction"", ""Fantasy"", ""Historical Fiction"", ""Dystopia"", ""Contemporary"", ""Novels"", ""Literary Fiction"", ""Literature"", ""Historical""]",509,Random House,08/17/04,216149,"[""85845"", ""73665"", ""36163"", ""13497"", ""6979""]",91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563042852l/49628._SX318_.jpg
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.77,"Robert M. Pirsig's Zen & the Art of Motorcycle Maintenance is an examination of how we live, a meditation on how to live better set around the narration of a summer motorcycle trip across America's Northwest, undertaken by a father & his young son.",English,"[""Philosophy"", ""Fiction"", ""Classics"", ""Spirituality"", ""Travel"", ""Psychology"", ""Literature"", ""Self Help"", ""Unfinished"", ""Religion""]",540,HarperTorch,04/25/06,200458,"[""63266"", ""63974"", ""45701"", ""18476"", ""9041""]",86,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410136019l/629.jpg
The Martian,Andy Weir (Goodreads Author),4.4,"Six days ago, astronaut Mark Watney became one of the first people to walk on Mars. Now, he’s sure he’ll be the first person to die there.After a dust storm nearly kills him and forces his crew to evacuate while thinking him dead, Mark finds himself stranded and completely alone with no way to even signal Earth that he’s alive—and even if he could get word out, his supplies would be gone long before a rescue could arrive. Chances are, though, he won’t have time to starve to death. The damaged machinery, unforgiving environment, or plain-old “human error” are much more likely to kill him first. But Mark isn’t ready to give up yet. Drawing on his ingenuity, his engineering skills — and a relentless, dogged refusal to quit — he steadfastly confronts one seemingly insurmountable obstacle after the next. Will his resourcefulness be enough to overcome the impossible odds against him?",English,"[""Science Fiction"", ""Fiction"", ""Audiobook"", ""Adventure"", ""Space"", ""Adult"", ""Science Fiction Fantasy"", ""Thriller"", ""Humor"", ""Survival""]",384,Crown,02/11/14,817411,"[""458260"", ""260529"", ""74433"", ""16902"", ""7287""]",97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413706054l/18007564.jpg
The Firm,"John Grisham (Goodreads Author), Robin Waterfield (Adapter)",4.02,"Adaptation for younger readers.

Mitch McDeere, a Harvard Law graduate, becomes suspicious of his Memphis tax firm when mysterious deaths, obsessive office security, and the Chicago mob figure into its operations.",English,"[""Fiction"", ""Thriller"", ""Mystery"", ""Suspense"", ""Crime"", ""Mystery Thriller"", ""Legal Thriller"", ""Novels"", ""Drama"", ""Law""]",76,Addison Wesley Publishing Company,02/15/00,564260,"[""196723"", ""218138"", ""121525"", ""21870"", ""6004""]",95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418465200l/5358.jpg
The Last Song,Nicholas Sparks (Goodreads Author),4.15,"Alternate Cover Edition can be found hereSeventeen-year-old Veronica 'Ronnie' Miller’s life was turned upside-down when her parents divorced and her father moved from New York City to Wilmington, North Carolina. Three years later, she remains angry and alienated from her parents, especially her father . . . until her mother decides it would be in everyone’s best interest if she spent the summer in Wilmington with him. Ronnie’s father, a former concert pianist and teacher, is living a quiet life in the beach town, immersed in creating a work of art that will become the centerpiece of a local church. The tale that unfolds is an unforgettable story about love in its myriad forms - first love, the love between parents and children - that demonstrates, as only a Nicholas Sparks novel can, the many ways that deeply felt relationships can break our hearts . . . and heal them.",English,"[""Romance"", ""Fiction"", ""Young Adult"", ""Contemporary"", ""Chick Lit"", ""Adult"", ""Realistic Fiction"", ""Adult Fiction"", ""Drama"", ""Love""]",390,Grand Central Publishing,09/08/09,504747,"[""229096"", ""160292"", ""87570"", ""19757"", ""8032""]",94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1286549186l/6400090.jpg
My Ántonia,Willa Cather,3.8,"Through Jim Burden's endearing, smitten voice, we revisit the remarkable vicissitudes of immigrant life in the Nebraska heartland, with all its insistent bonds. Guiding the way are some of literature's most beguiling characters: the Russian brothers plagued by memories of a fateful sleigh ride, Antonia's desperately homesick father and self-indulgent mother, and the coy Lena Lingard. Holding the pastoral society's heart, of course, is the bewitching, free-spirited Antonia.",English,"[""Classics"", ""Fiction"", ""Historical Fiction"", ""Literature"", ""School"", ""American"", ""Historical"", ""Novels"", ""Adult Fiction"", ""Classic Literature""]",232,New Millennium Library,02/20/00,119909,"[""35173"", ""42622"", ""28565"", ""9470"", ""4079""]",89,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389151307l/17150.jpg
Shatter Me,Tahereh Mafi,3.95,"I have a curseI have a giftI am a monsterI'm more than humanMy touch is lethalMy touch is powerI am their weaponI will fight backJuliette hasn’t touched anyone in exactly 264 days.The last time she did, it was an accident, but The Reestablishment locked her up for murder. No one knows why Juliette’s touch is fatal. As long as she doesn’t hurt anyone else, no one really cares. The world is too busy crumbling to pieces to pay attention to a 17-year-old girl. Diseases are destroying the population, food is hard to find, birds don’t fly anymore, and the clouds are the wrong color.The Reestablishment said their way was the only way to fix things, so they threw Juliette in a cell. Now so many people are dead that the survivors are whispering war – and The Reestablishment has changed its mind. Maybe Juliette is more than a tortured soul stuffed into a poisonous body. Maybe she’s exactly what they need right now.Juliette has to make a choice: Be a weapon. Or be a warrior.",English,"[""Young Adult"", ""Dystopia"", ""Fantasy"", ""Romance"", ""Science Fiction"", ""Paranormal"", ""Fiction"", ""Supernatural"", ""Post Apocalyptic"", ""Audiobook""]",338,Harper,11/15/11,290772,"[""115081"", ""89534"", ""54047"", ""20163"", ""11947""]",89,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310649047l/10429045.jpg
The Amber Spyglass,Philip Pullman,4.09,"Will is the bearer of the knife. Now, accompanied by angels, his task is to deliver that powerful, dangerous weapon to Lord Asriel - by the command of his dying father.But how can he go looking for Lord Asriel when Lyra is gone? Only with her help can he fathom the myriad plots and intrigues that beset him. The two great powers of the many worlds are lining up for war, and Will must find Lyra, for together they are on their way to battle, an inevitable journey that will even take them to the world of the dead...",English,"[""Fantasy"", ""Young Adult"", ""Fiction"", ""Science Fiction"", ""Childrens"", ""Adventure"", ""Science Fiction Fantasy"", ""Steampunk"", ""Audiobook"", ""Magic""]",467,Laurel Leaf,09/09/03,298240,"[""127436"", ""97096"", ""51723"", ""15672"", ""6313""]",93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329189152l/18122.jpg
Doctor Zhivago,"Boris Pasternak, John Bayley (Introduction), Max Hayward (Translator), Manya Harari (Translator)",4.01,"This epic tale about the effects of the Russian Revolution and its aftermath on a bourgeois family was not published in the Soviet Union until 1987. One of the results of its publication in the West was Pasternak's complete rejection by Soviet authorities; when he was awarded the Nobel Prize for Literature in 1958 he was compelled to decline it. The book quickly became an international best-seller.Dr. Yury Zhivago, Pasternak's alter ego, is a poet, philosopher, and physician whose life is disrupted by the war and by his love for Lara, the wife of a revolutionary. His artistic nature makes him vulnerable to the brutality and harshness of the Bolsheviks. The poems he writes constitute some of the most beautiful writing featured in the novel.",English,"[""Classics"", ""Fiction"", ""Historical Fiction"", ""Russia"", ""Russian Literature"", ""Literature"", ""Romance"", ""Novels"", ""Historical"", ""War""]",592,Pantheon,03/18/97,82469,"[""31627"", ""28638"", ""15642"", ""4649"", ""1913""]",92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385508725l/130440.jpg
The Hunchback of Notre-Dame,"Victor Hugo, Walter J. Cobb (Translator)",3.99,"This extraordinary historical novel, set in Medieval Paris under the twin towers of its greatest structure and supreme symbol, the cathedral of Notre-Dame, is the haunting drama of Quasimodo, the hunchback; Esmeralda, the gypsy dancer; and Claude Frollo, the priest tortured by the specter of his own damnation. Shaped by a profound sense of tragic irony, it is a work that gives full play to Victor Hugo's brilliant historical imagination and his remarkable powers of description.",English,"[""Classics"", ""Fiction"", ""Historical Fiction"", ""France"", ""Literature"", ""French Literature"", ""Gothic"", ""Historical"", ""Romance"", ""Novels""]",510,Signet Classics,04/10/01,171302,"[""61963"", ""60796"", ""37066"", ""8629"", ""2848""]",93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388342667l/30597.jpg
Robinson Crusoe,"Daniel Defoe, Virginia Woolf (Introduction)",3.68,"Daniel Defoe relates the tale of an English sailor marooned on a desert island for nearly three decades. An ordinary man struggling to survive in extraordinary circumstances, Robinson Crusoe wrestles with fate and the nature of God. This edition features maps.",English,"[""Classics"", ""Fiction"", ""Adventure"", ""Literature"", ""Historical Fiction"", ""Novels"", ""Classic Literature"", ""18th Century"", ""School"", ""British Literature""]",320,Modern Library,06/12/01,247795,"[""60768"", ""84614"", ""71861"", ""22461"", ""8091""]",88,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403180114l/2932.jpg
Inferno,"Dante Alighieri, Anthony M. Esolen (Translator)",4,"Of the great poets, Dante is one of the most elusive and therefore one of the most difficult to adequately render into English verse. In the Inferno, Dante not only judges sin but strives to understand it so that the reader can as well. With this major new translation, Anthony Esolen has succeeded brilliantly in marrying sense with sound, poetry with meaning, capturing both the poem’s line-by-line vigor and its allegorically and philosophically exacting structure, yielding an Inferno that will be as popular with general readers as with teachers and students. For, as Dante insists, without a trace of sentimentality or intellectual compromise, even Hell is a work of divine art.Esolen also provides a critical Introduction and endnotes, plus appendices containing Dante’s most important sources—from Virgil to Saint Thomas Aquinas and other Catholic theologians—that deftly illuminate the religious universe the poet inhabited.",English,"[""Classics"", ""Poetry"", ""Fiction"", ""Literature"", ""Religion"", ""Fantasy"", ""School"", ""Italian Literature"", ""Philosophy"", ""Medieval""]",490,Modern Library,12/09/03,143016,"[""53836"", ""48982"", ""29359"", ""8035"", ""2804""]",92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520255019l/15645._SY475_.jpg
Like Water for Chocolate,"Laura Esquivel, Thomas Christensen (Goodreads Author) (Translator), Carol Christensen (Translator)",3.95,"Earthy, magical, and utterly charming, this tale of family life in turn-of-the-century Mexico became a best-selling phenomenon with its winning blend of poignant romance and bittersweet wit.The number one bestseller in Mexico and America for almost two years, and subsequently a bestseller around the world, Like Water For Chocolate is a romantic, poignant tale, touched with moments of magic, graphic earthiness, bittersweet wit - and recipes. A sumptuous feast of a novel, it relates the bizarre history of the all-female De La Garza family. Tita, the youngest daughter of the house, has been forbidden to marry, condemned by Mexican tradition to look after her mother until she dies. But Tita falls in love with Pedro, and he is seduced by the magical food she cooks. In desperation, Pedro marries her sister Rosaura so that he can stay close to her, so that Tita and Pedro are forced to circle each other in unconsummated passion. Only a freakish chain of tragedies, bad luck and fate finally reunite them against all the odds.",English,"[""Fiction"", ""Romance"", ""Magical Realism"", ""Historical Fiction"", ""Classics"", ""Fantasy"", ""Food"", ""Spanish Literature"", ""Adult"", ""Novels""]",222,Black Swan,09/16/93,324463,"[""115250"", ""114264"", ""67712"", ""17779"", ""9458""]",92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550721459l/6952.jpg
Breakfast at Tiffany's and Three Stories,Truman Capote,3.88,"It's New York in the 1940s, where the martinis flow from cocktail hour till breakfast at Tiffany's. And nice girls don't, except, of course, Holly Golightly. Pursued by Mafia gangsters and playboy millionaires, Holly is a fragile eyeful of tawny hair and turned-up nose, a heart-breaker, a perplexer, a traveller, a tease. She is irrepressibly 'top banana in the shock department', and one of the shining flowers of American fiction.This edition also contains three stories: 'House of Flowers', 'A Diamond Guitar' and 'A Christmas Memory'.",English,"[""Classics"", ""Fiction"", ""Short Stories"", ""Romance"", ""American"", ""Literature"", ""Audiobook"", ""Novels"", ""20th Century"", ""New York""]",142,Vintage Books,10/28/93,211460,"[""60253"", ""83160"", ""53852"", ""11459"", ""2736""]",93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1477015353l/251688.jpg
Room,Emma Donoghue (Goodreads Author),4.06,"To five-year-old-Jack, Room is the world....Told in the inventive, funny, and poignant voice of Jack, Room is a celebration of resilience—and a powerful story of a mother and son whose love lets them survive the impossible.To five-year-old Jack, Room is the entire world. It is where he was born and grew up; it's where he lives with his Ma as they learn and read and eat and sleep and play. At night, his Ma shuts him safely in the wardrobe, where he is meant to be asleep when Old Nick visits. Room is home to Jack, but to Ma, it is the prison where Old Nick has held her captive for seven years. Through determination, ingenuity, and fierce motherly love, Ma has created a life for Jack. But she knows it's not enough ... not for her or for him. She devises a bold escape plan, one that relies on her young son's bravery and a lot of luck. What she does not realize is just how unprepared she is for the plan to actually work. Told entirely in the language of the energetic, pragmatic five-year-old Jack, Room is a celebration of resilience and the limitless bond between parent and child, a brilliantly executed novel about what it means to journey from one world to another.",English,"[""Fiction"", ""Contemporary"", ""Adult"", ""Adult Fiction"", ""Book Club"", ""Audiobook"", ""Thriller"", ""Drama"", ""Realistic Fiction"", ""Crime""]",321,"Little, Brown and Company",09/13/10,714395,"[""270390"", ""275433"", ""121971"", ""32204"", ""14397""]",93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472239721l/31685789._SY475_.jpg
